CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BURG - RESIDENTIAL,05/17/2024 12:00:00 PM,24-025517,VANDALISM,13X,5100 COCHRANE AV,Oakland,CA,POINT (-122.224771037 37.839044006)
OTHER,05/27/2024 08:00:00 PM,24-026171,CRIMINAL CONTEMPT,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
PETTY THEFT,05/24/2024 08:30:00 PM,24-026669,THEFT,06X,809 28TH ST,Oakland,CA,POINT (-122.274229648 37.81821139)
,05/31/2024 08:09:00 PM,24-027052,THEFT,20X,3060 E. 9TH ST,Oakland,CA,POINT (-122.229767992 37.775290999)
,05/30/2024 12:01:00 AM,24-027125,EXTORTION,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
STOLEN VEHICLE,06/02/2024 03:00:00 PM,24-027723,VEHICLE THEFT - OTHER VEHICLES,24Y,2337 BARTLETT ST,Oakland,CA,POINT (-122.214184023 37.787088988)
,06/08/2024 01:50:00 PM,24-028500,BATTERY,10X,93 8TH ST,Oakland,CA,POINT (-122.26541103 37.796692009)
ROBBERY,06/12/2024 10:20:00 AM,24-029182,EXHIBIT FIREARM,27Y,2230 57TH AV,Oakland,CA,POINT (-122.195107984 37.770440014)
PETTY THEFT,06/10/2024 02:00:00 AM,24-029304,THEFT,27Y,2451 62ND AV,Oakland,CA,POINT (-122.190294006 37.768788989)
DUI,06/16/2024 10:19:00 PM,24-030001,DUI ALCOHOL/DRUGS,30X,78TH AV & WELD ST,Oakland,CA,POINT (-122.179460983 37.760074994)
VANDALISM,06/20/2024 11:55:00 PM,24-030575,VANDALISM,26Y,77TH AV & SPENCER ST,Oakland,CA,POINT (-122.190432978 37.753656007)
,06/21/2024 01:00:00 AM,24-031010,VEHICLE THEFT - AUTO,17Y,2208 9TH AVE,Oakland,CA,POINT (-122.242676039 37.798152011)
,06/25/2024 03:55:00 PM,24-031714,VANDALISM,03Y,550 14TH ST,Oakland,CA,POINT (-122.27363379 37.805363752)
PETTY THEFT,06/24/2024 06:35:00 PM,24-031770,THEFT,13Z,6180 ANTIOCH ST,Oakland,CA,POINT (-122.20900179 37.82589542)
,06/06/2024 03:11:00 PM,24-031849,SC DOMESTIC VERBAL,27Y,6021 AVENAL AV,Oakland,CA,POINT (-122.191415002 37.769321994)
,06/25/2024 06:00:00 PM,24-031902,VEHICLE THEFT - AUTO,33X,8000 SAN LEANDRO ST,Oakland,CA,POINT (-122.192399957 37.749883698)
OTHER,06/26/2024 06:20:00 PM,24-032358,BATTERY,16Y,1720 MACARTHUR BLVD,Oakland,CA,POINT (-122.22103296 37.800892013)
PETTY THEFT,06/24/2024 03:00:00 PM,24-032404,THEFT,29X,3591 65TH AV,Oakland,CA,POINT (-122.175816028 37.775130988)
,07/01/2024 03:40:00 PM,24-032751,BATTERY,04X,1901 SAN PABLO AVE,Oakland,CA,POINT (-122.273160015 37.809190013)
PETTY THEFT,06/29/2024 06:00:00 PM,24-033588,THEFT,12Y,436 57TH ST,Oakland,CA,POINT (-122.259896995 37.842962)
PETTY THEFT,07/06/2024 06:00:00 PM,24-034079,THEFT,23X,1080 35TH AV,Oakland,CA,POINT (-122.223505358 37.774879751)
,07/11/2024 03:15:00 PM,24-034630,BATTERY,21Y,2800 NICOL AVE,Oakland,CA,POINT (-122.21700403 37.794370012)
